Ano/Mês,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Acumulado
2024,"0,97","0,29",---,---,---,---,---,---,---,---,---,---,"1,26"
2023,"1,12","0,92","1,17","0,92","1,12","1,07","1,07","1,14","0,97","1,00","0,92","0,89","13,04"
2022,"0,73","0,76","0,93","0,83","1,03","1,02","1,03","1,17","1,07","1,02","1,02","1,12","12,39"
2021,"0,15","0,13","0,20","0,21","0,27","0,31","0,36","0,43","0,44","0,49","0,59","0,77","4,42"
2020,"0,38","0,29","0,34","0,28","0,24","0,21","0,19","0,16","0,16","0,16","0,15","0,16","2,76"
2019,"0,54","0,49","0,47","0,52","0,54","0,47","0,57","0,50","0,46","0,48","0,38","0,37","5,96"
2018,"0,58","0,47","0,53","0,52","0,52","0,52","0,54","0,57","0,47","0,54","0,49","0,49","6,43"
2017,"1,09","0,87","1,05","0,79","0,93","0,81","0,80","0,80","0,64","0,64","0,57","0,54","9,94"
2016,"1,06","1,00","1,16","1,06","1,11","1,16","1,11","1,22","1,11","1,05","1,04","1,12","14,02"
2015,"0,94","0,82","1,04","0,95","0,99","1,07","1,18","1,11","1,11","1,11","1,06","1,16","13,27"
2014,"0,85","0,79","0,77","0,82","0,87","0,82","0,95","0,87","0,91","0,95","0,84","0,96","10,90"
2013,"0,60","0,49","0,55","0,61","0,60","0,61","0,72","0,71","0,71","0,81","0,72","0,79","8,22"
2012,"0,89","0,75","0,82","0,71","0,74","0,64","0,68","0,69","0,54","0,61","0,55","0,55","8,49"
2011,"0,86","0,84","0,92","0,84","0,99","0,96","0,97","1,07","0,94","0,88","0,86","0,91","11,62"
2010,"0,66","0,59","0,76","0,67","0,75","0,79","0,86","0,89","0,85","0,81","0,81","0,93","9,78"
2009,"1,05","0,86","0,97","0,84","0,77","0,76","0,79","0,69","0,69","0,69","0,66","0,73","9,93"
2008,"0,93","0,80","0,84","0,90","0,88","0,96","1,07","1,02","1,10","1,18","1,02","1,12","12,48"
2007,"1,08","0,87","1,05","0,94","1,03","0,91","0,97","0,99","0,80","0,93","0,84","0,84","11,88"
2006,"1,43","1,15","1,42","1,08","1,28","1,18","1,17","1,26","1,06","1,09","1,02","0,99","15,08"
2005,"1,38","1,22","1,53","1,41","1,50","1,59","1,51","1,66","1,50","1,41","1,38","1,47","19,05"
2004,"1,27","1,08","1,38","1,18","1,23","1,23","1,29","1,29","1,25","1,21","1,25","1,48","16,25"
2003,"1,97","1,83","1,78","1,87","1,97","1,86","2,08","1,77","1,68","1,64","1,34","1,37","23,35"
2002,"1,53","1,25","1,37","1,48","1,41","1,33","1,54","1,44","1,38","1,65","1,54","1,74","19,17"
2001,"1,27","1,02","1,26","1,19","1,34","1,27","1,50","1,60","1,32","1,53","1,39","1,39",17
