CNPJ_Fundo,dt,values,Percentual_Rentabilidade_Patrimonial_Mes
00.332.266/0001-31,2022-01-01,1.002201,0.996969
00.332.266/0001-31,2022-02-01,1.004113,1.00048
00.332.266/0001-31,2022-03-01,1.003767,0.999631
00.332.266/0001-31,2022-04-01,1.004187,1.000655
00.332.266/0001-31,2022-05-01,1.003457,0.999675
00.332.266/0001-31,2022-06-01,1.004523,1.00074
00.332.266/0001-31,2022-07-01,1.00633,1.002701
00.332.266/0001-31,2022-08-01,0.999947,0.997333
00.332.266/0001-31,2022-09-01,1.004262,0.999474
00.332.266/0001-31,2022-10-01,1.004679,1.001805
00.332.266/0001-31,2022-11-01,1.002519,0.99975
00.332.266/0001-31,2022-12-01,0.974604,0.968084
00.332.266/0001-31,2023-01-01,1.002277,0.995828
00.332.266/0001-31,2023-02-01,1.003776,1.000538
00.332.266/0001-31,2023-03-01,1.006631,1.00235
00.332.266/0001-31,2023-04-01,1.005062,0.999854
00.332.266/0001-31,2023-05-01,1.001229,0.997687
00.332.266/0001-31,2023-06-01,1.014856,1.005459
00.332.266/0001-31,2023-07-01,1.004812,0.998893
00.332.266/0001-31,2023-08-01,1.005234,0.998996
00.332.266/0001-31,2023-09-01,1.005344,0.9991
00.332.266/0001-31,2023-10-01,1.000901,0.996735
00.332.266/0001-31,2023-11-01,1.008165,1.003044
00.332.266/0001-31,2023-12-01,1.003669,1.001325
00.613.094/0001-74,2022-01-01,0.9964,0.9964
00.613.094/0001-74,2022-02-01,0.9476,0.9476
00.613.094/0001-74,2022-03-01,0.9559,0.9559
00.613.094/0001-74,2022-04-01,0.95,0.95
00.613.094/0001-74,2022-05-01,0.9661,0.9661
00.613.094/0001-74,2022-06-01,0.9614,0.9614
00.613.094/0001-74,2022-07-01,0.9638,0.9638
00.613.094/0001-74,2022-08-01,0.9692,0.9692
00.613.094/0001-74,2022-09-01,0.9665,0.9665
00.613.094/0001-74,2022-10-01,0.9695,0.9695
00.613.094/0001-74,2022-11-01,0.9688,0.9688
00.613.094/0001-74,2022-12-01,0.9959,0.9959
00.613.094/0001-74,2023-01-01,0.9916,0.9916
00.613.094/0001-74,2023-02-01,0.9704,0.9704
00.613.094/0001-74,2023-03-01,1.0,1.0
00.613.094/0001-74,2023-04-01,1.0,1.0
00.613.094/0001-74,2023-05-01,1.0,1.0
00.613.094/0001-74,2023-06-01,1.0,1.0
00.613.094/0001-74,2023-07-01,1.0,1.0
00.613.094/0001-74,2023-08-01,1.0,1.0
00.613.094/0001-74,2023-09-01,1.0,1.0
00.613.094/0001-74,2023-10-01,1.0,1.0
00.613.094/0001-74,2023-11-01,1.0,1.0
00.613.094/0001-74,2023-12-01,1.0,1.0
00.868.235/0001-08,2022-01-01,1.004147,1.004147
00.868.235/0001-08,2022-02-01,1.004064,1.004064
00.868.235/0001-08,2022-03-01,0.994476,0.99029
00.868.235/0001-08,2022-04-01,1.005967,1.001739
00.868.235/0001-08,2022-05-01,1.006094,1.001874
00.868.235/0001-08,2022-06-01,1.005961,1.000696
00.868.235/0001-08,2022-07-01,1.006474,0.998581
00.868.235/0001-08,2022-08-01,1.006894,1.001625
00.868.235/0001-08,2022-09-01,1.005416,0.998577
00.868.235/0001-08,2022-10-01,1.0064,1.000605
00.868.235/0001-08,2022-11-01,1.06199,1.056725
00.868.235/0001-08,2022-12-01,0.999058,0.993079
00.868.235/0001-08,2023-01-01,1.004509,1.001348
00.868.235/0001-08,2023-02-01,0.99275,0.99275
00.868.235/0001-08,2023-03-01,1.008417,1.008417
00.868.235/0001-08,2023-04-01,1.008638,1.005635
00.868.235/0001-08,2023-05-01,1.006288,1.002605
00.868.235/0001-08,2023-06-01,1.008424,1.003604
00.868.235/0001-08,2023-07-01,1.005031,0.998849
00.868.235/0001-08,2023-08-01,1.006313,0.999381
00.868.235/0001-08,2023-09-01,1.010208,1.003271
00.868.235/0001-08,2023-10-01,1.00882,0.995486
00.868.235/0001-08,2023-11-01,1.006056,1.000103
00.868.235/0001-08,2023-12-01,1.037352,1.036372
01.235.622/0001-61,2022-01-01,1.005793,1.005793
01.235.622/0001-61,2022-02-01,1.008685,1.008684
01.235.622/0001-61,2022-03-01,1.027765,1.027764
01.235.622/0001-61,2022-04-01,1.006824,0.97139
01.235.622/0001-61,2022-05-01,1.00762,1.00762
01.235.622/0001-61,2022-06-01,1.007398,0.994227
01.235.622/0001-61,2022-07-01,1.020591,1.00742
01.235.622/0001-61,2022-08-01,1.008259,1.008258
01.235.622/0001-61,2022-09-01,1.00706,1.007059
01.235.622/0001-61,2022-10-01,0.997858,0.997858
01.235.622/0001-61,2022-11-01,1.005795,1.005794
01.235.622/0001-61,2022-12-01,1.026589,0.99657
01.235.622/0001-61,2023-01-01,1.0371920000000001,1.007173
01.235.622/0001-61,2023-02-01,1.025985,1.025985
01.235.622/0001-61,2023-03-01,1.007935,1.007935
01.235.622/0001-61,2023-04-01,1.00881,1.00881
01.235.622/0001-61,2023-05-01,1.008079,1.008079
01.235.622/0001-61,2023-06-01,0.969002,0.968616
